dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,seen_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAVIDS-2025,Sybil Attack,8,0.9938959525482177,0.9931556466595797,0.003582045545923714,0.0012913367316116993,0.004414511601176397,0.8799400636823376,0.8549718478653586,0.9118287159578848,0.8799400636823376,0.00013352781590223982,3.616893222106972e-05,0.12005993631766249,0.08080164824873572,0.7991384154336018,0.0
UAVIDS-2025,Blackhole Attack,8,0.7523061625332561,0.9934585780931037,0.35978003514598744,0.0011980390015731198,0.35302909797963733,0.40932191590086325,0.5982373012573297,0.9140102440494124,0.4093567251461988,0.17596070365783908,3.387189130108181e-05,0.5906432748538012,0.07560568086883876,0.3337510442773601,0.0
UAVIDS-2025,Wormhole Attack,8,0.918193667101127,0.9995821253664345,0.12681600931630785,0.0001351032981261402,0.1341023707116481,0.6332566889632107,0.7181578597021183,0.9115060240963856,0.6420011148272018,0.029508254709461324,4.355358864555939e-08,0.3579988851727982,0.0837165551839465,0.5582845596432553,0.0
UAVIDS-2025,Flooding Attack,8,0.99389551291192,0.9940979529378731,0.007942528125512228,0.0011681549353253972,0.004059360763349106,0.7715717866093806,0.7907899723538683,0.913440017905103,0.7715717866093806,8.486890863328632e-05,3.07579697456485e-05,0.22842821339061942,0.09559613319011816,0.6759756534192625,0.0
UAVIDS-2025,Sybil Attack,9,0.9938670155938772,0.9934159744427957,0.0030546108797578513,0.0007554098751871289,0.0039478543750592066,0.9256415058999813,0.8830307306330312,0.9111228751249927,0.9256415058999813,7.069225058802232e-05,4.021717225067559e-05,0.07435849410001873,0.08140101142536055,0.8442404944746207,0.0
UAVIDS-2025,Blackhole Attack,9,0.7202520393972847,0.993995982988279,0.4283767992720782,0.001018898814726108,0.4118063720104765,0.40719855193539406,0.5962099877728327,0.915516721904188,0.4072333611807296,0.1992760200389772,4.106326986219634e-05,0.5927666388192704,0.07543163464216096,0.33180172653856865,0.0
UAVIDS-2025,Wormhole Attack,9,0.9030706125891282,1.0,0.17310240381192168,1.0350563812075917e-05,0.173801150136994,0.6445094760312151,0.7358607337884029,0.9155421686746988,0.6507803790412486,0.03240229365625561,0.0,0.3492196209587514,0.08357720178372352,0.5672031772575251,0.0
UAVIDS-2025,Flooding Attack,9,0.9929458718128196,0.9939996245209606,0.011323231571117285,0.0011529621361706954,0.00579083058406704,0.7029180093089867,0.7578702556575891,0.9151745747538048,0.7029180093089867,0.00012819874816516445,4.006414772285008e-05,0.29708199069101326,0.09720730397422127,0.6057107053347655,0.0
UAV-NIDD,DDoS,0,0.9960700232477957,0.9991776315789473,0.012065354986852727,4.840694222452668e-05,0.004286732042123289,0.14596230984636344,0.0744735480061764,0.9231414349096418,0.14596230984636344,4.3000629595304014e-05,7.31883703187122e-10,0.8540376901536366,1.513660788617271e-05,0.14594717323847725,0.0
UAV-NIDD,UDP Flooding,0,0.9935575315647711,0.9983424734714978,0.008925463107151253,7.175971133287074e-05,0.006120959795875542,0.43635322195704057,0.22561150033049443,0.91957584000806,0.43635322195704057,6.26427762692244e-05,3.8088903798012e-08,0.5636467780429594,0.00011455847255369928,0.43623866348448687,0.0
UAV-NIDD,MITM,0,0.9985462307353754,0.999164868337084,0.0014926640502716912,4.4340678521324954e-05,0.0009516061902149079,0.9489148002770723,0.48170550593769507,0.916798632581756,0.9489148002770723,3.6347509390649127e-06,1.13749852447815e-08,0.05108519972292773,3.848225967828831e-05,0.948876318017394,0.0
UAV-NIDD,Jamming,0,0.984671320189589,0.9991776315789473,0.03456906994592214,4.107539067468763e-05,0.026244292535229734,0.5864671880312818,0.30904457168205257,0.9152129731560674,0.5864671880312818,0.001564408101817959,4.48181341426685e-10,0.4135328119687181,0.0002720163209792588,0.5861951717103027,0.0
