model,dataset,held_out,seed,shift_balacc,shift_ECE,shift_cov_marg,shift_cov_bal,seen_cov_marg
MLP,UAVIDS-2025,Flooding Attack,3,0.9945392248130944,0.0011725173538217166,0.975250626566416,0.9286721398669797,0.90275290957923
MLP,UAVIDS-2025,Flooding Attack,4,0.9913213430413781,0.0019788789273994245,0.974937343358396,0.9346233234890189,0.9059982094897046
RandomForest,UAV-NIDD,DDoS,0,0.9616246798152477,0.05033433235701457,0.429739118588652,0.6804224316896759,0.9945222154595252
RandomForest,UAV-NIDD,DDoS,1,0.956417020164213,0.055109097927025785,0.434802352246668,0.6793082142135719,0.9943193345506188
RandomForest,UAV-NIDD,DDoS,2,0.9498172676549321,0.050294598460595294,0.3676861249233703,0.6576697509645857,0.9954148914587138
RandomForest,UAV-NIDD,DDoS,3,0.9654315046519089,0.054144131871126114,0.19494584837545126,0.5619362499214922,0.994075877459931
RandomForest,UAV-NIDD,DDoS,4,0.9604932330469707,0.04314515076175554,0.25286651681311445,0.5850498121752533,0.9937106918238994
RandomForest,UAV-NIDD,UDP Flooding,0,0.9962962962962962,0.0015434626951168005,0.778118287269082,0.8511547914184832,0.9955421231582924
RandomForest,UAV-NIDD,UDP Flooding,1,0.9987654320987654,0.001287555491908999,0.7858513532865531,0.8599470183986749,0.9947487721949376
RandomForest,UAV-NIDD,UDP Flooding,2,0.9987654320987654,0.0012544035514822482,0.8105685235572103,0.8700104818428009,0.9951643369852663
RandomForest,UAV-NIDD,UDP Flooding,3,1.0,0.0013726192181011214,0.7647715881426321,0.8517236013179218,0.9953154514544768
RandomForest,UAV-NIDD,UDP Flooding,4,0.9950617283950618,0.0017767488238631603,0.7417155950164686,0.8241992838003656,0.9935020778239516
RandomForest,UAV-NIDD,MITM,0,0.9862939599841649,0.012664877189944135,0.9106704765203336,0.9267477453506308,0.9969083437016929
RandomForest,UAV-NIDD,MITM,1,0.9953777795083794,0.013255837446243594,0.8825583744624355,0.9174053090529932,0.9954756249293066
RandomForest,UAV-NIDD,MITM,2,0.9880037943439615,0.016675614050278394,0.9046382082142754,0.9273558354803609,0.995928062436376
RandomForest,UAV-NIDD,MITM,3,0.9965831435079726,0.008435073743758579,0.9047825208531763,0.9274288452344641,0.9960411718131433
RandomForest,UAV-NIDD,MITM,4,0.9928356339518071,0.015293676220163435,0.8424683233757613,0.8824836079581714,0.9948723749198809
RandomForest,UAV-NIDD,Jamming,0,0.8364048415767049,0.14412058763517652,0.03876759844929606,0.4691358024691358,0.9955861806172996
RandomForest,UAV-NIDD,Jamming,1,0.8601573656945939,0.0911824117527037,0.03876759844929606,0.4691358024691358,0.9961895084465896
RandomForest,UAV-NIDD,Jamming,2,0.9734914084742043,0.15591460926341563,0.038257498469700064,0.46296296296296297,0.9961260002540328
