dataset,held_out,seed,shift_balacc,shift_Brier_temp,marginal_cov_shift,balanced_cov_shift,setsize_shift,marginal_cov_seen,balanced_cov_seen,shift_AURC,ECE_raw_seen,ECE_raw_shift,Brier_raw_shift,ECE_temperature_seen,ECE_temperature_shift,Brier_temperature_shift,ECE_platt_seen,ECE_platt_shift,Brier_platt_shift,ECE_isotonic_seen,ECE_isotonic_shift,Brier_isotonic_shift
UAVIDS-2025,Sybil Attack,5,0.9936760301087741,0.003912062098503506,0.8851844914778049,0.8595813746024222,0.8851844914778049,0.9095347332509852,0.876360189090498,5.754802731811068e-05,0.0006644949398439201,0.0032481921637760895,0.00393083217884853,0.0008444509309191938,0.003172625888243334,0.003912062098503506,0.0008267941073374719,0.003246860443429892,0.003911323185398718,0.0013184047904768264,0.0034345908420878642,0.003939584005296027
UAVIDS-2025,Blackhole Attack,5,0.7283539201690913,0.39900712864833976,0.4096700083542189,0.5996316489062112,0.40970481759955446,0.909972883398614,0.8797850522571826,0.19263389920071922,0.0013490938444089037,0.4132097927275148,0.4001980897684283,0.0011534889338481857,0.41237624271170686,0.39900712864833976,0.0011256157257132228,0.4079005669469993,0.3945270012338118,0.0015781851786739963,0.4464815054833162,0.4021297126870342
UAVIDS-2025,Wormhole Attack,5,0.9084381642503871,0.14284452571780948,0.6361482720178372,0.7245596586058678,0.6439172240802675,0.9108433734939759,0.8781250588389837,0.03520360890793549,0.00023679117970708616,0.13260923844822037,0.14161318151933097,0.0002293959170066074,0.1349816025752889,0.14284452571780948,0.00021470694192685837,0.08343133173557725,0.09315542986787798,0.00016350788165290337,0.09210667493998202,0.08984872345638797
UAVIDS-2025,Flooding Attack,5,0.9944802619415403,0.005909123015923586,0.7359917651271035,0.7722952849763688,0.7360365198711063,0.9122649955237243,0.8789627911293265,0.00011705443048434553,0.0011985240100375386,0.012295131532926459,0.005666851046973896,0.0008799688286500236,0.013346160282506753,0.005909123015923586,0.0007079694168936772,0.013086648176606385,0.005671129568189327,0.0017473505726613302,0.012165717578004229,0.004466358125713416
UAVIDS-2025,Sybil Attack,6,0.9928994917090708,0.004279171091832593,0.9416744708746957,0.8919188811501221,0.9416744708746957,0.9128286571378155,0.8758060345358895,5.9523574752149105e-05,0.0011840826956987065,0.0038021993972053103,0.004272084289823082,0.00123661867546863,0.004032511116789908,0.004279171091832593,0.001328938940708008,0.004000535852957414,0.004323052892644749,0.0033212292803131466,0.0038217088731962094,0.004460151822573538
UAVIDS-2025,Blackhole Attack,6,0.7407065336492872,0.36363415562716717,0.4089390142021721,0.6038690689534405,0.4089390142021721,0.9167219041880085,0.8876735470494521,0.18245320698932677,0.001795795068479345,0.3738586959316438,0.3607959958891049,0.001911215929882908,0.37600663345798624,0.36363415562716717,0.0017191801406629566,0.35017764546094066,0.34062111849605314,0.0028426887959681776,0.376313689946023,0.3511560281681617
UAVIDS-2025,Wormhole Attack,6,0.9004830177106493,0.16294187900260884,0.6333960423634337,0.7232172545333537,0.6435340022296544,0.9160240963855422,0.8821320260851713,0.036577636390350665,0.00014246174968568376,0.14742276430699877,0.15494563617384782,6.536528288586486e-05,0.15595083432028242,0.16294187900260884,7.699476322247249e-05,0.1465858742175806,0.15058933923945975,6.979458168688871e-05,0.14538176286322305,0.14313602708551762
UAVIDS-2025,Flooding Attack,6,0.9942097104665468,0.0021210038065350273,0.685374149659864,0.7401491340455144,0.685374149659864,0.9095232766338407,0.8662769975754174,3.895360131163573e-05,0.001857171864476514,0.0027879188718693392,0.0021831283099361903,0.002110018194934254,0.0022717522190717106,0.0021210038065350273,0.0017257172843367634,0.002212960167767711,0.0022289305784869897,0.002560732190308726,0.002030254782147763,0.002182515159851321
UAVIDS-2025,Sybil Attack,7,0.993281462679277,0.004517637804855729,0.946956358868702,0.8974002684854389,0.9474433414497097,0.9109464149167696,0.8768818541426958,0.00013664160628353147,0.0018899979599468933,0.0038535599105243446,0.004518391385632119,0.0019476972701700974,0.0038135369789706825,0.004517637804855729,0.0018464438418203666,0.003791377196510587,0.004538566389690635,0.0031104431601960006,0.003877390506152711,0.0045681711628150845
UAVIDS-2025,Blackhole Attack,7,0.7229748882248488,0.4062021450931685,0.40879977722082983,0.6060263344918762,0.4089390142021721,0.9167821633021994,0.885845861937201,0.19477022060782348,0.001418046641967245,0.41784641490298213,0.39844874527229984,0.0015750568574869148,0.42337840100837987,0.4062021450931685,0.0020655848169489482,0.45750661354675914,0.44263674593309715,0.0035256061175150946,0.47847123422202664,0.44487632545685246
UAVIDS-2025,Wormhole Attack,7,0.9033389557617113,0.172812625532198,0.6404333890746934,0.7298381530164637,0.647366220735786,0.9101204819277109,0.8776959663695566,0.03469159220664655,8.70437421131004e-05,0.14542456514334148,0.15315465109290344,5.9601379532425725e-05,0.1719693506420682,0.172812625532198,6.574156032528052e-05,0.14897159496183343,0.15571964907668026,9.214223969834951e-05,0.1513525518188407,0.15871693334028436
UAVIDS-2025,Flooding Attack,7,0.9878357562781226,0.011824259473442655,0.6783476548514142,0.7472673758838331,0.6783476548514142,0.9181960608773501,0.879429697686771,0.0004915728952647582,0.0015741489254530638,0.01101420458517334,0.01170549971582711,0.001209525631935359,0.01097418035784011,0.011824259473442655,0.000922995584929579,0.01070806722158518,0.012738000805970354,0.001193250914357828,0.013763118681997765,0.014764596296865582
UAVIDS-2025,Sybil Attack,8,0.9938959525482177,0.004414511601176397,0.8799400636823376,0.8549718478653586,0.8799400636823376,0.9118287159578848,0.8764654811124151,0.00013352781590223982,0.0012007160911169895,0.003639621233439622,0.004418465575307631,0.0012913367316116993,0.003582045545923714,0.004414511601176397,0.0012703639819461718,0.003617571825195485,0.0044090940824647006,0.0012729933387770121,0.004444919703387,0.004540659020610268
UAVIDS-2025,Blackhole Attack,8,0.7523061625332561,0.35302909797963733,0.40932191590086325,0.5982373012573297,0.4093567251461988,0.9140102440494124,0.8781441883700316,0.17596070365783908,0.0009221989684810817,0.3556030396472529,0.3478172800330502,0.0011980390015731198,0.35978003514598744,0.35302909797963733,0.001267791462741877,0.3765553156558499,0.3690836683553212,0.0018515217867176416,0.4145804780587096,0.3727020098617353
