dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAV-CAS,DDoS,0,0.9837661022734834,0.5437883038178251,0.13063222626653656,0.13165170613370317,0.0475227963044221,0.9970398481973435,0.9971816501340831,0.8468119596541787,1.26292220113852,0.00211474812640787,0.0,0.18421252371916508,0.552865275142315,0.26292220113851994
UAV-CAS,DDoS,1,0.9837679102988015,0.5420170153679794,0.12552197119705746,0.1313282088587103,0.046229928167516934,0.9987096774193548,0.998634217674677,0.850414265129683,1.264819734345351,0.001195447981513074,0.0,0.17996204933586338,0.5552182163187855,0.26481973434535105
UAV-CAS,DDoS,2,0.9836984821265848,0.5407332074972532,0.12728898396530774,0.1354721449993832,0.04644902295363035,0.9984060721062619,0.9983608442465741,0.8487031700288185,1.263301707779886,0.001349224147321402,0.0,0.1832258064516129,0.5534724857685009,0.26330170777988615
UAV-CAS,DDoS,3,0.9843132107347525,0.5456112348482962,0.12594839986139944,0.1312236137217169,0.045790926536200295,0.9979506641366224,0.997848811476477,0.8511347262247838,1.2703605313092978,0.0014708089438203818,0.0,0.1752561669829222,0.5543833017077799,0.27036053130929794
UAV-CAS,DDoS,4,0.9874201214414446,0.5438490904218632,0.13005720815194213,0.12584803068741637,0.046470318841065325,0.9990891840607211,0.9990099253357865,0.8395172910662824,1.2528273244781785,0.0007785144322808279,0.0,0.1927134724857685,0.5544592030360531,0.25282732447817835
UAV-CAS,DDoS,5,0.9851835941229052,0.5436938209993962,0.12632890805881322,0.13027985351457436,0.0457164078523128,0.9992409867172676,0.9992655801157715,0.8550972622478387,1.2618595825426946,0.0009177297485765435,0.0,0.18512333965844402,0.5530170777988614,0.2618595825426945
UAV-CAS,DDoS,6,0.9845692271198012,0.544556352972971,0.131556963390666,0.12087499431955023,0.048072301720376964,0.9996204933586338,0.9995903014629095,0.8555475504322767,1.2681593927893737,0.0007869588138692007,0.0,0.17867172675521822,0.553168880455408,0.26815939278937384
UAV-CAS,DDoS,7,0.9829137991385121,0.5361211866208945,0.12392731945238902,0.1421609416341855,0.04529004399629128,0.9991650853889943,0.9991632458827648,0.8492435158501441,1.2642884250474384,0.0010630082901905366,0.0,0.18261859582542694,0.5530929791271347,0.2642884250474383
UAV-CAS,DDoS,8,0.9826227070622915,0.5444518800649063,0.13303992434238046,0.1256661405579163,0.048531184770276896,0.9981024667931688,0.9981214616944524,0.8516750720461095,1.270664136622391,0.0014397209874310005,0.0,0.1759392789373814,0.5533965844402277,0.2706641366223909
UAV-CAS,DDoS,9,0.9854566059459444,0.5409546816016879,0.12926351671181985,0.13824151031105128,0.04556260729142077,0.9977988614800759,0.9977801065143875,0.855007204610951,1.2659582542694496,0.001478313828960757,0.0,0.1801897533206831,0.5538519924098672,0.2659582542694497
UAV-CAS,Blackhole,0,0.5034705335480637,0.7000121684956254,0.4748441237364181,0.09317814171679382,0.4516452137057476,0.5431432545201669,0.6610652059392195,0.8362578864353313,1.3073713490959666,0.6651427854683847,0.0,0.691961057023644,0.0006675938803894297,0.30737134909596664
UAV-CAS,Blackhole,1,0.5032998559580313,0.6992127720211433,0.47180324694510306,0.09204327336312479,0.44926878174635443,0.5541585535465925,0.6691480773752683,0.8395110410094637,1.327510431154381,0.6732559327901437,0.0,0.6710987482614743,0.0013908205841446453,0.3275104311543811
UAV-CAS,Blackhole,2,0.5041231893820846,0.6994287379238634,0.47207268607592445,0.09174215053673553,0.45076158585091547,0.5555493741307371,0.6703119841531859,0.8431585173501577,1.332461752433936,0.6772723462098875,0.0,0.6671488178025035,0.0003894297635605007,0.332461752433936
